
#,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,PB,DIST,DIST_DM,PSR,R_LUM,R_LUM14,AGE,TYPE,
28,J0024-7204T,J0024-7204T,00:24:08.5,-72:04:38.9,5.100,-2.600,0.007588,2.94e-19,131.778699,-5.102e-15,-3.000e-27,,,,ELL1,1.1262,4.690,2.550,,,,4.09e+08,
29,J0024-7204U,J0024-7204U,00:24:09.8,-72:03:59.6,4.600,-3.800,0.004343,9.52e-20,230.264772,-5.049e-15,1.880e-26,,,,ELL1,0.4291,4.690,2.534,,,,7.23e+08,
30,J0024-7204V,J0024-7204V,00:24:05.6,-72:04:52.6,,,0.004810,,207.892963,,,,,,BTX,0.2121,4.690,2.480,,,,,
31,J0024-7204W,J0024-7204W,00:24:06.0,-72:04:49.0,6.100,-2.600,0.002352,-8.66e-20,425.107796,1.564e-14,,,,,BTX,0.1329,4.690,2.539,,,,,
32,J0024-7204X,J0024-7204X,00:24:22.3,-72:01:17.4,5.800,-3.300,0.004772,1.84e-20,209.576695,-8.065e-16,,,,,ELL1,10.9212,4.690,2.587,,,,4.12e+09,
33,J0024-7204Y,J0024-7204Y,00:24:01.4,-72:04:41.8,4.400,-3.400,0.002197,-3.52e-20,455.237178,7.289e-15,-2.110e-26,,,,ELL1,0.5219,4.690,2.563,,,,,
34,J0024-7204Z,J0024-7204Z,00:24:06.0,-72:05:01.4,4.000,1.000,0.004554,-4.54e-21,219.565606,2.190e-16,8.000e-27,,,,,,4.690,2.559,,,,,
35,J0025-19,J0025-19,00:25,-19,,,1.306000,,0.765697,,,,,,,,25.000,25.000,,,,,
36,J0026+6320,J0026+6320,00:26:50.5,+63:20:00.8,,,0.318358,1.51e-16,3.141120,-1.486e-15,,,1.00,,,,6.619,6.619,,,4.38e+01,3.35e+07,
37,J0030+0451,J0030+0451,00:30:27.4,+04:51:39.7,-6.329,0.766,0.004865,1.02e-20,205.530699,-4.297e-16,,7.90,1.09,0.63,,,0.324,0.345,HE[btlb00,aaa+09e],8.27e-01,1.14e-01,7.58e+09,
38,J0033+57,J0033+57,00:33,+57,,,0.315000,,3.174603,,,,,,,,2.251,2.251,,,,,
39,J0033+61,J0033+61,00:33,+61,,,0.912000,,1.096491,,,,,,,,1.654,1.654,,,,,
40,J0034-0534,J0034-0534,00:34:21.8,-05:34:36.7,7.900,-9.200,0.001877,4.97e-21,532.713430,-1.409e-15,,24.00,0.21,,ELL1,1.5893,1.348,1.348,HE[aaa+10b],4.36e+01,3.82e-01,5.99e+09,
41,B0031-07,J0034-0721,00:34:08.8,-07:21:53.4,10.370,-11.130,0.942951,4.08e-16,1.060500,-4.591e-16,,52.00,11.10,,,,1.030,0.996,,5.52e+01,1.18e+01,3.66e+07,
42,J0034+69,J0034+69,00:34,+69:43,,,0.036804,,27.170871,,,4.50,,,,,2.283,2.283,,2.35e+01,,,
