,f_obs,fdot_obs,dist,mu,alpha,Mbh,fdot_ratio,tauGW,strain,powGW,EM_lum_eps6
24.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.02297635766617181,3.995086208973352,3.9444766112468623,57370.0,3.4935929316072817e-25,1.4053194878336546e+33,7.418599802053553e+42
25.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.023865424522641333,4.149675495436547,6.338190703278566,39778.0,3.428760538180743e-25,1.3535914690325274e+33,6.272024060475652e+42
26.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.02475449137911085,4.304264781899743,10.002554127000854,27965.0,3.3674602576876733e-25,1.3055707319703382e+33,5.335754111041445e+42
27.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.02564355823558037,4.458854068362938,15.523132729353136,19916.0,3.309382684770142e-25,1.2608717257322932e+33,4.565566547233084e+42
28.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.026532625092049893,4.613443354826134,23.717408704335654,14354.0,3.2542550438115294e-25,1.2191605758953396e+33,3.927646353840144e+42
29.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.027421691948519414,4.76803264128933,35.71263711568453,10462.0,3.201835796838908e-25,1.1801467070913595e+33,3.395892766721492e+42
30.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.028310758804988935,4.922621927752525,53.04542867220674,7706.0,3.151910191069256e-25,1.1435760443000978e+33,2.949981891675985e+42
31.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.029199825661458456,5.077211214215721,77.78795302004954,5732.0,3.1042865581774524e-25,1.1092254560864344e+33,2.5739578157202713e+42
32.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.030088892517927977,5.231800500678917,112.70650479443316,4303.0,3.0587932198663396e-25,1.0768981830018907e+33,2.2551972633626996e+42
33.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.0309779593743975,5.386389787142112,161.4591253444332,3259.0,3.015275885701289e-25,1.0464200532001948e+33,1.9836412641992714e+42
34.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.03186702623086702,5.540979073605308,228.8400329283822,2488.0,2.9735954533208147e-25,1.0176363315720163e+33,1.751219702697525e+42
35.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.03275609308733654,5.695568360068503,321.07978963520776,1914.0,2.9336261394017395e-25,9.90409081959299e+32,1.551416586330074e+42
36.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.03364515994380606,5.850157646531698,446.2114304441703,1484.0,2.8952538843069297e-25,9.646149476452746e+32,1.3789389357867148e+42
37.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.03453422680027558,6.004746932994895,614.5142044718111,1158.0,2.858374984123707e-25,9.401432746238288e+32,1.2294626525511537e+42
38.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.035423293656745104,6.1593362194580905,839.0481360896513,910.0,0.0,0.0,0.0
39.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.036312360513214625,6.3139255059212855,1136.2943091781763,719.0,0.0,0.0,0.0
40.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.023558930069130887,3.0892605318220667,0.43763882403582804,33980.0,0.0,0.0,0.0
41.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.024176988823907775,3.170306000010842,0.6046566259505564,26473.0,0.0,0.0,0.0
42.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.024795047578684663,3.2513514681996174,0.8283539920143266,20760.0,0.0,0.0,0.0
43.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.025413106333461548,3.3323969363883927,1.12569041455847,16381.0,8.800626239331484e-25,1.5678242472875192e+34,1.667977410750051e+43
44.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.026031165088238436,3.413442404577168,1.5180510355627557,13002.0,8.696994727003814e-25,1.5310725353641608e+34,1.5000255206623447e+43
45.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.026649223843015324,3.4944878727659434,2.0322394066909526,10379.0,8.596996967263312e-25,1.4960209688572012e+34,1.3523948188635563e+43
46.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.027267282597792212,3.575533340954719,2.7016579045763693,8329.0,8.500425447122016e-25,1.4625539551408456e+34,1.2222335188994874e+43
47.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.0278853413525691,3.6565788091434945,3.567704829795486,6718.0,8.407088859218337e-25,1.4305661495851198e+34,1.1071426853286946e+43
48.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.028503400107345988,3.73762427733227,4.681420722473699,5446.0,8.316810510469223e-25,1.3999613444780374e+34,1.0050963302515739e+43
49.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.029121458862122876,3.818669745521045,6.105420233606069,4435.0,8.229426917728162e-25,1.3706514994626783e+34,9.143769588291426e+42
50.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.02973951761689976,3.8997152137098205,7.916150012693951,3628.0,8.144786564715178e-25,1.3425558927968078e+34,8.335233264482672e+42
51.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.03035757637167665,3.980760681898596,10.206517523338848,2981.0,8.062748799394372e-25,1.3156003764320578e+34,7.612878990209282e+42
52.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.030975635126453537,4.061806150087371,13.088940493539118,2459.0,7.983182852559591e-25,1.2897167201078025e+34,6.966020615125246e+42
53.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.03159369388123043,4.142851618276147,16.698871858513087,2037.0,7.905966962987357e-25,1.2648420325553637e+34,6.385475433792502e+42
54.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.03221175263600731,4.223897086464922,21.19886057610652,1693.0,7.830987595195611e-25,1.240918249260064e+34,5.863328549450553e+42
55.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.0328298113907842,4.304942554653698,26.783214599312867,1413.0,7.758138738896553e-25,1.2178916781658884e+34,5.392737805154918e+42
56.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.03344787014556109,4.385988022842474,33.68333859006959,1183.0,7.687321279787752e-25,1.195712595670895e+34,4.967771695050589e+42
57.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.03406592890033797,4.467033491031248,42.17382566564689,994.0,0.0,0.0,0.0
58.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.034683987655114865,4.548078959220025,52.57938959233557,838.0,0.0,0.0,0.0
59.0,247.501525,2.583e-15,4.69,1.0234441075377884e-12,0.03530204640989175,4.6291244274088,65.28273139502578,709.0,0.0,0.0,0.0
60.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.018506953964414978,1.9282481463023566,0.48846664863431516,279350.0,0.0,0.0,0.0
61.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.01934866683484065,2.0159466019876024,0.8550032613708478,181378.0,0.0,0.0,0.0
62.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.02019037970526632,2.1036450576728485,1.4602147401643772,120015.0,1.6316200624833304e-25,8.537931212735083e+32,9.613643175496388e+42
63.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.021032092575691986,2.191343513358094,2.4381218522044223,80803.0,1.5990294406324242e-25,8.199988361996648e+32,8.022615367353138e+42
64.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.021873805446117656,2.27904196904334,3.9870759829348827,55280.0,1.568342623585641e-25,7.888007580460744e+32,6.743197448328578e+42
65.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.022715518316543327,2.3667404247285866,6.395836961352393,38382.0,1.53938129806633e-25,7.599103072300963e+32,5.705597394013267e+42
66.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.023557231186968997,2.454438880413832,10.078426224286787,27018.0,1.5119896721219767e-25,7.33080148376489e+32,4.8574792771753455e+42
67.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.024398944057394664,2.542137336099078,15.62014506685434,19262.0,1.4860309458573376e-25,7.080970761232997e+32,4.1591715072891984e+42
68.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.025240656927820335,2.629835791784324,23.837653450620174,13897.0,1.4613844353867907e-25,6.847763243673369e+32,3.5802997421435816e+42
69.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.026082369798246005,2.71753424746957,35.85658777993315,10138.0,1.437943211777948e-25,6.629569774082814e+32,3.0973904133669754e+42
70.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.026924082668671676,2.805232703154816,53.21086330021175,7473.0,1.4156121494159054e-25,6.424982418345219e+32,2.692144650326498e+42
71.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.027765795539097346,2.8929311588400624,77.96856553439504,5562.0,1.3943063024627098e-25,6.2327639651723386e+32,2.3501811921548945e+42
72.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.028607508409523016,2.980629614525308,112.89019271569597,4178.0,1.3739495461526308e-25,6.051822810430794e+32,2.0601113181775185e+42
73.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.029449221279948683,3.0683280702105535,161.62597479041256,3166.0,1.3544734333274355e-25,5.881192148495167e+32,1.8128514620019485e+42
74.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.030290934150374354,3.1560265258957996,228.96007149534992,2419.0,1.3358162270701737e-25,5.720012633111328e+32,1.601107763059649e+42
75.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.03113264702080002,3.243724981581045,321.11064940197076,1862.0,1.3179220782134423e-25,5.567517850716596e+32,1.4189862211024654e+42
76.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.03197435989122569,3.331423437266291,446.0961626988927,1444.0,1.3007403228234736e-25,5.423022088546831e+32,1.2616954563857215e+42
77.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.03281607276165136,3.4191218929515372,614.1796216041304,1127.0,1.284224879439579e-25,5.285909984837358e+32,1.12531834347896e+42
78.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.03365778563207703,3.5068203486367833,838.4042322561492,886.0,0.0,0.0,0.0
79.0,311.493418,1.775e-16,4.69,1.2880571268759063e-12,0.0344994985025027,3.5945188043220293,1135.235538878588,700.0,0.0,0.0,0.0
80.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.023712074841154382,2.6819347136675726,0.4361891884621126,27534.0,0.0,0.0,0.0
81.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.024294800688981794,2.747843441196016,0.5905600077040057,21790.0,0.0,0.0,0.0
82.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.02487752653680921,2.81375216872446,0.7936126391415074,17343.0,0.0,0.0,0.0
83.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.02546025238463662,2.879660896252904,1.0589096585042248,13880.0,7.910200100514722e-25,1.7024902618764812e+34,1.7255414549893897e+43
84.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.026042978232464032,2.9455696237813473,1.4033151186234611,11166.0,7.822450404705213e-25,1.6648810077506736e+34,1.5614191169910432e+43
85.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.026625704080291447,3.0114783513097914,1.8476866304265729,9028.0,7.737603287059706e-25,1.6289135473653605e+34,1.4160782907172436e+43
86.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.02720842992811886,3.0773870788382345,2.4176899076314142,7334.0,7.655502176624735e-25,1.594482409139433e+34,1.2870231071532668e+43
87.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.02779115577594627,3.143295806366678,3.1447535390687973,5986.0,7.5760020664084645e-25,1.5614909675152917e+34,1.1721334345650825e+43
88.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.028373881623773682,3.2092045338951216,4.067183766979421,4906.0,7.498968438174291e-25,1.529850534587476e+34,1.0696019571822406e+43
89.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.028956607471601097,3.2751132614235647,5.23146122739678,4039.0,7.424276306956248e-25,1.4994795614129292e+34,9.778828121883395e+42
90.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.02953933331942851,3.3410219889520083,6.693743956174574,3338.0,7.3518093698494485e-25,1.4703029338557864e+34,8.956494815565685e+42
91.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.030122059167255924,3.4069307164804523,8.521603489753533,2769.0,7.281459245889354e-25,1.4422513501662279e+34,8.217601288785489e+42
92.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.030704785015083336,3.472839444008896,10.796023599388842,2306.0,7.213124795711581e-25,1.4152607694322585e+34,7.552289520356025e+42
93.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.03128751086291075,3.5387481715373394,13.613694098856666,1928.0,7.146711511297299e-25,1.3892719216713263e+34,6.952024177638369e+42
94.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.03187023671073816,3.6046568990657826,17.0896352651104,1617.0,7.08213096742537e-25,1.3642298716707988e+34,6.409394742322914e+42
95.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.03245296255856557,3.670565626594226,21.360191715653052,1360.0,7.01930032745496e-25,1.3400836297694785e+34,5.917950179390007e+42
96.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.03303568840639298,3.7364743541226697,26.58643810181001,1148.0,6.958141897641332e-25,1.3167858039625435e+34,5.472060330861029e+42
97.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.0336184142542204,3.8023830816511137,32.95804270984501,972.0,0.0,0.0,0.0
98.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.03420114010204781,3.8682918091795573,40.69763901752989,826.0,0.0,0.0,0.0
99.0,286.9447,3.7770000000000004e-15,4.69,1.1865456683719362e-12,0.034783865949875224,3.9342005367080004,50.06575943785414,703.0,0.0,0.0,0.0
100.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.021056094105172986,1.4355058343588898,0.46207310517163225,52291.0,0.0,0.0,0.0
101.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.021688238646786148,1.4786024871906647,0.66949471978493,39277.0,0.0,0.0,0.0
102.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.02232038318839931,1.5216991400224393,0.9593804800284776,29753.0,0.0,0.0,0.0
103.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.02295252773001247,1.5647957928542142,1.3605352743035752,22720.0,2.3184635385330535e-25,4.0259253456336933e+33,1.2607765094566768e+43
104.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.023584672271625633,1.6078924456859889,1.9105131788671428,17481.0,2.2875893835912263e-25,3.9193073196017854e+33,1.1180311149713945e+43
105.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.024216816813238794,1.6509890985177638,2.657896895331955,13547.0,2.2579347169121493e-25,3.8182430918351543e+33,9.946452533358224e+42
106.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.024848961354851956,1.6940857513495384,3.665077086652204,10570.0,2.229421340866273e-25,3.7223088537682643e+33,8.87582440372278e+42
107.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.02548110589646512,1.7371824041813133,5.011621409043593,8300.0,2.2019778966102e-25,3.6311228524802533e+33,7.943436517907179e+42
108.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.02611325043807828,1.780279057013088,6.798335688558024,6558.0,2.1755391140120154e-25,3.5443403003278273e+33,7.128618859496715e+42
109.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.026745394979691445,1.823375709844863,9.15213363210066,5212.0,2.1500451597337716e-25,3.461649006458319e+33,6.414193380362238e+42
110.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.027377539521304603,1.8664723626766375,12.231846771505536,4166.0,2.1254410686353874e-25,3.382765613505742e+33,5.785819421058376e+42
111.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.028009684062917768,1.9095690155084126,16.23512309280626,3347.0,2.1016762462311935e-25,3.30743234396753e+33,5.2314734082687464e+42
112.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.02864182860453093,1.9526656683401875,21.40658108075261,2703.0,2.0787040318724164e-25,3.2354141772969455e+33,4.741033013638394e+42
113.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.02927397314614409,1.9957623211719622,28.047405784236474,2193.0,2.0564813141800333e-25,3.166496392922463e+33,4.305943061903615e+42
114.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.029906117687757253,2.038858974003737,36.52659506529214,1788.0,2.0349681913962734e-25,3.100482424703963e+33,3.91894577631682e+42
115.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.030538262229370415,2.0819556268355117,47.294087498321844,1464.0,2.0141276706688395e-25,3.0371919819899303e+33,3.5738619323186315e+42
116.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.031170406770983577,2.1250522796672864,60.89602852239426,1204.0,1.9939254010515474e-25,2.9764593992570743e+33,3.265412501445807e+42
117.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.03180255131259674,2.1681489324990615,77.99245848179106,994.0,0.0,0.0,0.0
118.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.0324346958542099,2.2112455853308357,99.37773519340156,824.0,0.0,0.0,0.0
119.0,476.046858,2.219e-15,4.69,1.9685024232960925e-12,0.03306684039582306,2.2543422381626113,126.00403471962449,686.0,0.0,0.0,0.0
