,NAME,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,DIST,DIST_DM,R_LUM,R_LUM14,AGE,F_GW,h_max
0,J1342+2822F,13:42:11.6,+28:22:38,,,0.0044,,227.272727,,,,,,,10.2,25.0,,,,454.545454,8.009057514101759e-25
1,J1803-3002B,18:03:34.0,-30:02:02,,,0.004397,,227.42779199999998,,,,,,,7.7,5.8020000000000005,,,,454.85558399999996,1.0609404549918453e-24
2,J1823-3021E,18:23:38.9,-30:22:22.3,,,0.0043939999999999995,,227.58306800000003,,,,,,,7.9,3.372,,,,455.16613600000005,1.0340815279975952e-24
3,B0021-72H,00:24:06.7,-72:04:06.8,5.1,-2.8,0.00321,-1.83e-21,311.493418,1.775e-16,1.6e-25,,,,DD,4.69,2.541,,,,622.986836,1.7418258241046337e-24
4,J1628-3205,16:28:07.0,-32:05:48.9,,,0.00321,,311.52648,,,,,,BT,1.225,1.225,,,,623.05296,6.668702084586744e-24
5,J1930+1403g,19:30:18,+14:03,,,0.00321,,311.52648,,,,0.09,,,4.74,4.74,,2.11,,623.05296,1.7234514881052236e-24
6,J1624-39,16:24:25,-39:51:00,,,0.00296,,337.837838,,,,,,,2.6289999999999996,2.6289999999999996,,,,675.675676,3.1073246153361107e-24
7,J2045-68,20:45:17,-68:36:20,,,0.00296,,337.837838,,,,,,,1.273,1.273,,,,675.675676,6.4172477719706476e-24
8,J0514-4002L,05:14:06.8,-40:02:48.0,,,0.002959,,337.974855,,,,,,BT,11.44,25.0,,,,675.94971,7.140886997421491e-25
